,DTWpc,Eucpc_corr,PCDpc,Pearson_ori,Pearson_pc,DTWpriv,Eucpriv_corr,PCDpriv,Pearson_priv
0,13491.540322684974,6016.4007009744655,0.07712893264208243,0.8965999434853935,0.8194710108433111,14984.524697731329,6569.687826003925,0.2331567148913819,0.6634432285940116
1,10629.934258143872,4587.052321320072,0.015186904819255886,0.9190940648647113,0.9039071600454555,10895.863439655059,5276.837999132648,0.014211716068827762,0.9333057809335391
2,11756.622442627446,4820.969999445913,,0.9333533805312971,,5960.246385701709,5350.351226658908,,
3,13907.927262228268,7196.95213685956,0.049992191504819705,0.9274437528205594,0.8774515613157396,16742.153822738153,6439.715705286205,,
4,18380.033127493618,6831.208205698844,,0.8393188129766985,,18528.053748013514,10479.255221628497,0.008889294848563933,0.8482081078252625
5,14227.408298528037,5497.539189825963,,0.8638738783647769,,18770.507330925466,7915.426182489705,,
6,15805.37852591837,8235.096261123304,,0.800057698078215,,21387.294705788634,8710.722808439772,,
7,25757.46572935313,9255.949008071053,,0.822512685625005,,27290.26192259093,9624.248580945534,,
8,27711.180747353064,14492.98510997749,,,,23839.104594062395,11171.802714404239,,
9,26906.56712998281,7903.099787162404,,,,23642.8294178444,8374.856353804891,,
10,31967.373047509613,10843.577812617057,,,,25640.256534992433,11311.419066446088,,
11,23314.536225254098,9815.134907932896,,,,21078.84893424622,10552.990666525933,,
12,43325.19389042022,16054.584889457079,,,,26961.773159602726,11552.070644165799,,
13,33952.10690961025,10098.87159152346,,,,49602.271411924135,14312.562088013068,,
14,26030.107684916893,13973.28380722189,,,,31048.358120756984,9844.962013574393,,
15,37707.67701177069,13169.618853999636,,,,57719.58328261196,19173.918270436196,,
16,26510.087663594994,8415.137422695234,,,,28707.078535128334,11252.509322174206,,
17,29369.722437674543,9632.646371492614,,,,32062.824650049806,9447.209368641203,,
18,102712.29551271861,32366.112637344962,,,,75858.39412157226,35881.6302191315,,
19,39355.43443150807,26355.87382804583,,,,100753.18860823312,36376.09574571111,,
