,DTWpc,Eucpc_corr,PCDpc,Pearson_ori,Pearson_pc,DTWpriv,Eucpriv_corr,PCDpriv,Pearson_priv,epsilon
0,22619.62436286847,15017.385014267447,1.7000104549358848,0.9251225913720358,-0.7748878635638489,21812.125218227975,13914.129636184813,1.7162856215613693,-0.7911630301893335,0.1
1,40592.14771820423,23116.15990515828,0.5104694106748653,-0.4797370442292303,-0.9902064549040956,41685.58077656743,24717.703954053974,0.39195259489104706,-0.08778444933818327,0.1
2,67103.48655467392,37787.00512060072,1.418890114237343,0.5002008119731426,-0.9186893022642003,68167.47398364161,35600.297381846656,1.0276962945454111,-0.5274954825722685,0.1
3,61510.82663877505,30790.692647187934,0.7604387542330637,0.051938525460914944,-0.7085002287721488,62102.86792664724,31937.68180102783,0.6760662099322987,-0.6241276844713838,0.1
4,66666.68684176556,34569.708976529495,0.7149730307079907,-0.17472713345765437,-0.889700164165645,68072.10640098256,36766.25542937346,0.6867234432024365,-0.8614505766600908,0.1
5,62698.40375356318,34526.80363713598,0.43042531004660967,-0.30326913484923457,-0.7336944448958442,65124.19583987922,31655.839079802787,0.5194066396074721,-0.8226757744567067,0.2
6,58577.454560881815,32452.770298596264,0.3359867014390662,-0.3810310989875148,-0.717017800426581,70587.15320696817,34116.207628077726,0.502437771285194,-0.8834688702727088,0.2
7,67724.97710744354,36914.605398131396,0.36166685894984163,-0.4298514099152275,-0.7915182688650692,68661.28795753553,32821.15388539287,0.44125299569393717,-0.8711044056091647,0.2
8,54636.08093297383,30193.00785552548,0.27960314417123855,-0.4610489151117412,-0.7406520592829797,68887.60709267975,32829.03372481719,0.4130312347566212,-0.8740801498683624,0.2
9,60781.46895283865,33720.56811185114,0.3049269131305618,-0.4809881071221332,-0.785915020252695,65730.06066855311,31367.00999025347,0.364366314817891,-0.8453544219400242,0.2
10,67441.0260007118,33842.95565603308,0.33301842123715375,-0.49347109324544336,-0.8264895144825971,63829.31658353484,31025.235183279376,0.3303153382253349,-0.8237864314707782,0.3
11,71587.94578585886,36090.417742688216,0.3293484572215519,-0.5008782692884078,-0.8302267265099598,67152.4632261738,31896.230623751428,0.32221744256891305,-0.8230957118573209,0.3
12,68745.1450712363,35118.01673537163,0.30897507224392495,-0.5047566730382378,-0.8137317452821627,69995.75053788666,33581.53072562685,0.3156725269980286,-0.8204292000362664,0.3
13,72513.1120972695,37346.67229524536,0.3012660689965123,-0.5061427643338912,-0.8074088333304035,65499.93080493438,31305.290446675044,0.2916787453410925,-0.7978215096749837,0.3
14,64697.46528558005,32672.748276417457,0.27100227708317104,-0.5057485795098198,-0.7767508565929908,62681.028525744405,30054.080117510646,0.26554069390970336,-0.7712892734195231,0.3
15,71861.6111333357,36804.06244914995,0.2736200823709538,-0.5040736265444742,-0.777693708915428,67948.15426264203,33247.82827252041,0.27400463235875094,-0.7780782589032251,0.4
16,69846.18351369943,35121.45294378053,0.25778901552036815,-0.5014745311684166,-0.7592635466887847,67431.08632774414,31966.087792929156,0.2573066009548145,-0.7587811321232311,0.4
17,69981.73205097426,35498.21593950893,0.2526086728916883,-0.4982096981980604,-0.7508183710897487,70926.02068829969,33940.151745464675,0.25405691766754024,-0.7522666158656006,0.4
18,66390.85105206733,33328.602215636725,0.2348538592008675,-0.4944686991836759,-0.7293225583845434,66224.84591068188,32461.9200360875,0.24292650314652747,-0.7373952023302034,0.4
19,66906.54989965315,34032.3683975819,0.2305843489442294,-0.4903920500834562,-0.7209763990276856,60609.280124751735,29082.271792163545,0.2157515186632568,-0.706143568746713,0.4
20,67576.9529616806,34149.52651163861,0.22193440288714594,-0.48608478785482345,-0.7080191907419694,67664.06496201876,32710.109762985318,0.22750685626051814,-0.7135916441153416,0.5
21,65129.13287683217,32789.89285587184,0.21224315896839646,-0.4816259553153393,-0.6938691142837358,65875.83327198232,31299.422803905007,0.2147018628720609,-0.6963278181874002,0.5
22,72612.86836760823,37341.996152015156,0.2131120040918933,-0.47707533192369217,-0.6901873360155855,67093.23424520993,32507.57452299139,0.2121154096288273,-0.6891907415525195,0.5
23,66646.69304710715,33649.24563552917,0.20539501334243954,-0.47247827754301946,-0.677873290885459,68151.16156440262,33069.736248812274,0.21067232592193658,-0.683150603464956,0.5
24,67885.68825603604,34054.46455980176,0.20096466149892278,-0.4678692623841967,-0.6688339238831195,68000.9762838891,32631.104988089737,0.20282672760889053,-0.6706959899930872,0.5
25,60221.63818888053,31757.90375249719,0.19908600539626198,-0.46327446885403845,-0.6623604742503004,70209.278580827,34028.844821175495,0.20181562427906208,-0.6650900931331005,0.6
26,64318.594406236414,36853.43693158948,0.197219643150512,-0.45871372909746355,-0.6559333722479755,65083.51381516474,30900.360900994747,0.18712786064833875,-0.6458415897458023,0.6
27,60666.37316800536,32731.17922520423,0.1898981765003513,-0.4542019813052856,-0.6441001578056369,70467.84784327738,34108.260482119484,0.19286066576543964,-0.6470626470707252,0.6
28,65684.1773050589,36400.56488947678,0.18777296065856963,-0.4497503735614129,-0.6375233342199825,65920.80741875668,32024.97532214789,0.18519260501791657,-0.6349429785793295,0.6
29,60388.75496348104,31439.659062184095,0.17872718720947645,-0.44536710693524173,-0.6240942941447182,60873.3450047408,29389.99865081955,0.17030399392703877,-0.6156711008622805,0.6
30,63347.33218762996,33318.585207889,0.1816532054758921,-0.4410580838740025,-0.6227112893498946,71368.13140705683,34352.37190251181,0.18100146707545478,-0.6220595509494573,0.7
31,64375.60102620572,34592.86002857711,0.17716554905577298,-0.43682740997570235,-0.6139929590314753,66964.16045121974,31948.530106188122,0.17202091380824525,-0.6088483237839476,0.7
32,55966.266531670575,29278.73329537264,0.16490688155543987,-0.43267778448182026,-0.5975846660372601,59869.58657439423,28969.997152195116,0.15979021390106873,-0.592467998382889,0.7
33,64412.86738528814,35873.624774954005,0.17208585316378844,-0.42861080569896315,-0.6006966588627516,64922.41924027515,31769.536165938134,0.16724095725143107,-0.5958517629503942,0.7
34,57299.864244458426,29991.793795266956,0.1612503268335877,-0.42462721095093353,-0.5858775377845212,65346.78165389846,31474.80673939838,0.163996881394669,-0.5886240923456025,0.7
35,59563.19792587952,31338.132107542435,0.16294633123094032,-0.42072706583541625,-0.5836733970663566,74877.10742306418,37305.1364716201,0.16542133572406376,-0.58614840155948,0.8
36,62711.773673504606,33575.192957298066,0.16315418235445822,-0.41690991400223454,-0.5800640963566928,70438.67012050134,33935.26436288038,0.1624334282388209,-0.5793433422410554,0.8
37,63144.69484679056,33385.620678579944,0.15924370220887962,-0.41317489602716695,-0.5724185982360466,63804.02616460381,30249.398370677456,0.1533248992750117,-0.5664997953021786,0.8
38,66296.52781251757,35990.63355875637,0.15795124264761984,-0.4095208439767303,-0.5674720866243501,59034.33671258009,29108.188539499188,0.14518917406851295,-0.5547100180452432,0.8
39,59672.72621962261,31639.219814441345,0.15119690584238793,-0.4059463567673351,-0.557143262609723,64179.53711569343,30819.32542286623,0.14996547742016125,-0.5559118341874963,0.8
40,57315.152078464096,31997.426237768716,0.1491138289955241,-0.4024498602896545,-0.5515636892851786,73961.52545567387,35993.99701747089,0.15339695438723816,-0.5558468146768927,0.9
41,55288.6589687981,30562.967852084777,0.14597684390845778,-0.3990296554037748,-0.5450064993122326,61903.67755753882,29751.51621247022,0.13877728672195233,-0.5378069421257271,0.9
42,62387.58668478176,34664.41579116291,0.14768833914063995,-0.39568395624570174,-0.5433722953863417,63624.65280017746,30062.344025749775,0.1425141889388395,-0.5381981451845412,0.9
43,57694.90025763698,30731.31430856947,0.14240149459917734,-0.39241092077189693,-0.5348124153710743,57103.76404867372,28592.718629192128,0.13206081988494706,-0.524471740656844,0.9
44,55556.10780707374,29376.66435090222,0.1370617839423139,-0.38920867506919116,-0.526270459011505,64159.41130226659,30736.866198678836,0.13964645478680132,-0.5288551298559925,0.9
45,59731.708291688556,32581.933522431296,0.14103052085798057,-0.3860753326456135,-0.5271058535035941,70041.78164860627,33596.47848884679,0.14252687581467444,-0.5286022084602879,1.0
46,50206.013204914096,27528.569478698206,0.13038951592288395,-0.3830090096730594,-0.5133985255959433,77321.65711091146,38895.21716011734,0.13930732767999499,-0.5223163373530544,1.0
47,59081.09553178606,32146.41638397707,0.13776122405811836,-0.3800078369599505,-0.5177690610180689,71974.90654768614,34477.42150171662,0.1398223267405661,-0.5198301637005166,1.0
48,62539.2079311126,34859.48464128878,0.13711547520241846,-0.37706996927946684,-0.5141854444818853,67954.21895108541,33715.71635673545,0.1377027034433846,-0.5147726727228514,1.0
49,60379.330331390534,32901.70226738884,0.13529731421244284,-0.37419359255775475,-0.5094909067701976,68500.83671425749,33058.47175473391,0.13579620729611053,-0.5099897998538653,1.0
50,62044.89509759523,34305.83159952609,0.13467108327432553,-0.37137692932980604,-0.5060480126041316,72934.85812970789,34911.64817237896,0.13512324530273423,-0.5065001746325403,2.0
51,56970.21464307974,30672.74269445458,0.13038667964626316,-0.3686182427934394,-0.49900492243970257,72884.39747393622,34546.36108535843,0.1331761647977368,-0.5017944075911762,2.0
52,60675.88071142779,33473.54460812374,0.132070927228789,-0.3659158397295904,-0.4979867669583794,66728.42561797466,32228.040489244293,0.128200421996298,-0.4941162617258884,2.0
53,63453.0975697509,34629.42165523227,0.13028748395158107,-0.3632680725072092,-0.4935555564587903,63066.08055455988,31506.554302914657,0.12695949539685097,-0.4902275679040602,2.0
