,distocenterpc,wdispc,nodessimpc,pc_node_num,distocenterpriv,wdispriv,nodessimpriv,priv_node_num,cluster_intra_dis_diff_pc_priv,cluster_real_node_num
0,103190.82525591087,8023.857375573722,0.3975903614457831,133.0,122975.95968489342,13184.231076276146,0.7469879518072289,104.0,19785.13442898255,83.0
1,104955.66048810628,9762.265355646194,0.5903614457831325,117.0,109553.84505764996,14285.60395270693,0.8795180722891567,93.0,4598.184569543679,83.0
2,124988.18566573987,8955.604530713425,0.5903614457831325,117.0,113085.18990246701,14850.866933274005,0.7349397590361446,105.0,11902.995763272862,83.0
3,107644.33173470582,12473.55642461135,0.7590361445783133,103.0,111555.81594951234,11217.095072076601,0.7349397590361446,105.0,3911.484214806522,83.0
4,109496.31100673882,11206.647677979827,0.5783132530120482,118.0,130122.5887550201,11606.811959622426,0.5542168674698795,120.0,20626.27774828128,83.0
5,121354.29763120279,11489.080364840904,0.5783132530120482,118.0,106283.75092205557,14021.145285920431,0.8192771084337349,98.0,15070.546709147224,83.0
6,116049.54959372373,40931.67462942739,0.963855421686747,86.0,106335.24403737398,14624.54891416495,0.8192771084337349,98.0,9714.305556349747,83.0
7,120903.03463855422,18456.00586223041,0.7469879518072289,104.0,126268.65566265062,17932.878959688303,0.7951807228915663,100.0,5365.621024096399,83.0
8,114971.8789654029,13985.98409225145,0.6867469879518072,109.0,103993.24121750158,14881.775892822941,0.8554216867469879,95.0,10978.637747901317,83.0
9,128229.72109927314,10158.38802065364,0.5421686746987953,121.0,104944.51474864977,21429.65413586794,0.9518072289156626,87.0,23285.206350623368,83.0
10,105621.94370208104,7932.032129244878,0.6746987951807228,110.0,128870.65130288598,33636.76416652213,0.963855421686747,86.0,23248.707600804933,83.0
11,104753.02951807229,5939.662871274593,0.5542168674698795,120.0,116184.80329237742,11199.953853389914,0.7831325301204819,101.0,11431.773774305126,83.0
12,122223.61508534137,24945.654260058298,0.8433734939759037,96.0,99298.0552026287,13937.317467582301,0.6746987951807228,110.0,22925.559882712667,83.0
13,117052.65380789213,21310.203098245533,0.6867469879518072,109.0,105724.9309848088,15974.18086620299,0.891566265060241,92.0,11327.722823083328,83.0
14,118284.66118386589,15630.91837753786,0.6144578313253012,115.0,124957.17959337348,13975.376150833497,0.8433734939759037,96.0,6672.5184095075965,83.0
15,105944.98526143409,24679.005172158344,0.7590361445783133,103.0,117353.87111235641,21475.812371990654,0.963855421686747,86.0,11408.885850922321,83.0
16,110395.6901163978,5919.879047108223,0.5783132530120482,118.0,103480.17413841414,22847.746349841127,0.963855421686747,86.0,6915.515977983669,83.0
17,119257.93856614578,17511.29310523723,0.7831325301204819,101.0,88802.58253633088,16352.922214486967,0.8313253012048193,97.0,30455.356029814895,83.0
18,89830.49943168901,8694.500055578184,0.7228915662650602,106.0,116110.62346087646,22252.296638724278,0.9036144578313253,91.0,26280.124029187456,83.0
19,113758.8368947488,12775.648868662132,0.7228915662650602,106.0,95779.66053223884,15989.020594168582,0.9036144578313253,91.0,17979.17636250997,83.0
