,epsilon,BASE_WEIGHT,pattern_weight,distocenterpc,wdispc,nodessimpc,pc_node_num,DTWpc,Eucpc_corr,PCDpc,Pearson_ori,Pearson_pc,ndcgpc,diffpc,Eucpc,reldiffpc,nodes_real,nodes_pc,distocenterpriv,wdispriv,nodessimpriv,priv_node_num,cluster_intra_dis_diff_pc_priv,cluster_real_node_num,DTWpriv,Eucpriv_corr,PCDpriv,Pearson_priv,ndcgpriv,diffpriv,Eucpriv,reldiffpriv,nodes_priv
0,2.0,14.0,"(1, 1, 4)",2890.3893107260183,813.4187197289739,0.5939086294416244,117.0,361743.2563407012,96473.62956103582,0.987491410393051,0.741219207987556,-0.24627220240549497,0.9999999999999998,56.0,43.08131845707603,0.345985401459854,354.0,298.0,2302.3004135689857,211.78342315941808,0.9519774011299436,69.0,588.0888971570325,197.0,413366.4331428222,98757.8749919351,0.2902370709150532,0.45098213707250284,0.9999999999999998,183.0,129.9576854210631,1.5529197080291972,371.0
1,2.0,14.0,"(1, 1, 4)",3032.345223926567,791.0685233690458,0.5228426395939086,103.0,446045.1786272053,111422.39610914962,1.0543037395755264,0.741219207987556,-0.3130845315879703,0.9999999999999998,54.0,46.69047011971501,0.2678832116788321,354.0,300.0,2349.0001416878304,144.66876747471505,0.7033898305084746,41.0,683.3450822387367,197.0,476413.213949844,109313.55310711384,0.8014193245000821,-0.060200116512526075,0.9999999999999998,139.0,123.17873193047572,0.6577554744525548,249.0
2,2.0,14.0,"(1, 1, 4)",3164.2354350485048,527.6333574335279,0.3350253807106599,66.0,513255.99408056866,115715.50292679886,0.8323954176938859,0.741219207987556,-0.09117620970632988,0.9999999999999998,129.0,102.7861858422619,0.7451642335766424,354.0,287.0,2508.4946141911787,84.73831007948185,0.7598870056497176,15.0,655.7408208573261,197.0,749832.8100109833,167874.17281254783,0.7991375212667569,-0.05791831327920078,0.9999999999999998,131.0,110.42191811411355,0.6816605839416059,269.0
3,2.0,14.0,"(1, 1, 4)",3030.5794161825906,375.81687956360486,0.29949238578680204,59.0,609980.7534808905,139679.08213974236,1.0687192305993418,0.741219207987556,-0.3275000226117858,0.9999999999999998,67.0,49.64876634922564,0.4480839416058394,354.0,333.0,2464.0276212730705,147.8708049779795,0.8813559322033898,32.0,566.5517949095201,197.0,463464.60963151476,110267.53730854207,1.2890651691672201,-0.547845961179664,0.9999999999999998,92.0,71.5122367151245,0.5570255474452555,312.0
4,2.0,14.0,"(1, 1, 4)",2908.062434914264,501.33336094617533,0.41624365482233505,82.0,299045.87922232744,87892.31772276618,0.6086694980781079,0.741219207987556,0.13254970990944814,0.9999999999999998,159.0,117.23907198540937,1.075912408759124,354.0,307.0,2495.498965830148,328.62125415521086,0.8333333333333334,88.0,412.56346908411615,197.0,460036.99604194995,108074.38873580529,0.7686099520631513,-0.02739074407559532,0.9999999999999998,63.0,61.032778078668514,0.24762773722627737,295.0
5,2.0,14.0,"(1, 1, 9)",2890.3893107260183,813.4187197289739,0.5939086294416244,117.0,361743.2563407012,96473.62956103582,0.987491410393051,0.741219207987556,-0.24627220240549497,0.9999999999999998,65.0,55.10898293381942,0.33458029197080297,354.0,289.0,2302.3004135689857,211.78342315941808,0.9519774011299436,69.0,588.0888971570325,197.0,413366.4331428222,98757.8749919351,0.2902370709150532,0.45098213707250284,0.9999999999999998,183.0,129.9576854210631,1.5529197080291972,371.0
6,2.0,14.0,"(1, 1, 9)",3032.345223926567,791.0685233690458,0.5228426395939086,103.0,446045.1786272053,111422.39610914962,1.0543037395755264,0.741219207987556,-0.3130845315879703,0.9999999999999998,54.0,46.69047011971501,0.2678832116788321,354.0,300.0,2349.0001416878304,144.66876747471505,0.7033898305084746,41.0,683.3450822387367,197.0,476413.213949844,109313.55310711384,0.8014193245000821,-0.060200116512526075,0.9999999999999998,139.0,123.17873193047572,0.6577554744525548,249.0
7,2.0,14.0,"(1, 1, 9)",3164.2354350485048,527.6333574335279,0.3350253807106599,66.0,513255.99408056866,115715.50292679886,0.8323954176938859,0.741219207987556,-0.09117620970632988,0.9999999999999998,129.0,102.7861858422619,0.7451642335766424,354.0,287.0,2508.4946141911787,84.73831007948185,0.7598870056497176,15.0,655.7408208573261,197.0,749832.8100109833,167874.17281254783,0.7991375212667569,-0.05791831327920078,0.9999999999999998,131.0,110.42191811411355,0.6816605839416059,269.0
8,2.0,14.0,"(1, 1, 9)",3030.5794161825906,375.81687956360486,0.29949238578680204,59.0,609980.7534808905,139679.08213974236,1.0687192305993418,0.741219207987556,-0.3275000226117858,0.9999999999999998,67.0,49.64876634922564,0.4480839416058394,354.0,333.0,2464.0276212730705,147.8708049779795,0.8813559322033898,32.0,566.5517949095201,197.0,463464.60963151476,110267.53730854207,1.2890651691672201,-0.547845961179664,0.9999999999999998,92.0,71.5122367151245,0.5570255474452555,312.0
9,2.0,14.0,"(1, 1, 9)",2908.062434914264,501.33336094617533,0.41624365482233505,82.0,299045.87922232744,87892.31772276618,0.6086694980781079,0.741219207987556,0.13254970990944814,0.9999999999999998,159.0,117.23907198540937,1.075912408759124,354.0,307.0,2495.498965830148,328.62125415521086,0.8333333333333334,88.0,412.56346908411615,197.0,460036.99604194995,108074.38873580529,0.7686099520631513,-0.02739074407559532,0.9999999999999998,63.0,61.032778078668514,0.24762773722627737,295.0
