,ndcgpc,diffpc,Eucpc,reldiffpc,nodes_real,nodes_pc,ndcgpriv,diffpriv,Eucpriv,reldiffpriv,nodessimpriv,nodes_priv
0,1.0,10.0,9.055385138137417,0.04709228824273072,819.0,809.0,1.0,30.0,28.071337695236398,0.106826801517067,0.9633699633699634,789.0
1,1.0,43.0,39.20459156782532,0.19216182048040453,819.0,862.0,1.0,19.0,13.892443989449804,0.43742098609355246,0.9768009768009768,800.0
2,1.0,19.0,19.0,0.02402022756005057,819.0,838.0,1.0,49.0,46.09772228646444,0.16529709228824274,0.9401709401709402,770.0
3,1.0,11.0,7.810249675906654,0.22060682680151705,819.0,818.0,1.0,39.0,37.05401462729781,0.11820480404551201,0.9523809523809523,780.0
4,1.0,23.0,19.4164878389476,0.16687737041719342,819.0,842.0,1.0,2.0,1.4142135623730951,0.03697850821744627,1.0,819.0
5,1.0,28.0,26.076809620810597,0.10429835651074588,819.0,847.0,1.0,7.0,5.0,0.14664981036662453,0.9914529914529915,812.0
6,1.0,16.0,12.083045973594572,0.19247787610619468,819.0,813.0,1.0,43.0,35.17101079013795,0.3644121365360304,0.9694749694749695,844.0
7,1.0,19.0,16.278820596099706,0.12737041719342604,819.0,838.0,1.0,25.0,20.615528128088304,0.2038558786346397,0.9816849816849816,804.0
8,1.0,22.0,17.08800749063506,0.23451327433628316,819.0,829.0,1.0,6.0,4.47213595499958,0.07648546144121365,0.9975579975579976,817.0
9,1.0,17.0,12.041594578792296,0.3315423514538559,819.0,836.0,1.0,14.0,10.295630140987,0.18994943109987358,0.9829059829059829,805.0
10,1.0,5.0,3.605551275463989,0.10967130214917825,819.0,820.0,1.0,10.0,7.615773105863909,0.11599241466498103,0.9951159951159951,815.0
11,1.0,21.0,15.652475842498529,0.2676991150442478,819.0,826.0,1.0,17.0,17.0,0.021491782553729456,0.9792429792429792,836.0
12,1.0,23.0,21.095023109728988,0.0979772439949431,819.0,838.0,1.0,21.0,19.1049731745428,0.09544879898862199,0.9743589743589743,798.0
13,1.0,53.0,50.08991914547278,0.17035398230088494,819.0,872.0,1.0,13.0,11.180339887498949,0.39538558786346395,0.989010989010989,810.0
14,1.0,28.0,28.0,0.035398230088495575,819.0,847.0,1.0,11.0,8.54400374531753,0.11725663716814158,0.9865689865689866,808.0
15,1.0,19.0,13.601470508735444,0.4029709228824273,819.0,816.0,1.0,11.0,9.219544457292887,0.08280657395701643,0.9914529914529915,812.0
16,1.0,42.0,39.11521443121589,0.15644753476611883,819.0,855.0,1.0,6.0,5.0990195135927845,0.04203539823008849,0.9926739926739927,813.0
17,1.0,21.0,19.1049731745428,0.09544879898862199,819.0,802.0,1.0,32.0,32.0,0.040455120101137804,0.960927960927961,851.0
