,ndcgpc,diffpc,Eucpc,reldiffpc,nodes_real,nodes_pc,ndcgpriv,diffpriv,Eucpriv,reldiffpriv,nodessimpriv,nodes_priv,epsilon
0,1.0,1784.0,1041.8838706880915,2.6426301108381702,2849.0,1271.0,0.9162345342870577,1760.0,1005.3367594990248,3.3765787582742974,0.5324675324675325,1517.0,0.1
1,1.0,1761.0,1013.1401679925636,2.760338390963445,2849.0,1332.0,0.9162345342870577,1741.0,992.210159190078,3.3525140730584297,0.5384345384345384,1534.0,0.1
2,1.0,1819.0,1043.9468377269027,2.8409023674798597,2849.0,1278.0,0.8857200980855322,1754.0,1029.117097321777,3.2679112605579963,0.5268515268515268,1501.0,0.1
3,1.0,1778.0,1022.8245206290276,2.7960521744166797,2849.0,1319.0,0.8834701992130771,1748.0,1007.9692455625816,3.3185347113552788,0.5331695331695332,1519.0,0.1
4,0.9581172671435289,1807.0,1049.1048565324631,2.8456003652455455,2849.0,1300.0,0.8857200980855322,1706.0,1004.8233675626776,3.106040778305457,0.5324675324675325,1517.0,0.1
5,0.9992018356727972,1340.0,682.5115383640045,3.5067813471468785,2849.0,2077.0,1.0,1178.0,692.1358248205333,2.346046756846344,0.6953316953316953,1981.0,0.2
6,0.9992018356727972,1258.0,643.5355468037488,3.03586671965206,2849.0,2043.0,0.9162345342870577,1225.0,728.6885480093673,2.460453217323571,0.6858546858546859,1954.0,0.2
7,0.9992018356727972,1234.0,631.4127018044537,2.891521880489404,2849.0,2037.0,1.0,1182.0,694.2982068247044,2.236123390380956,0.6805896805896806,1939.0,0.2
8,1.0,1182.0,609.3783717855434,2.7261930101893985,2849.0,2063.0,0.9162345342870577,1285.0,758.9196268380466,2.556673290577818,0.6676026676026676,1902.0,0.2
9,0.9992018356727972,1295.0,660.2537391033844,3.2194274592534935,2849.0,2048.0,1.0,1172.0,693.6065166937232,2.392946706662004,0.7023517023517023,2001.0,0.2
10,0.9787217731662783,1623.0,880.1210144065417,3.6056954559534864,2849.0,1750.0,0.9162345342870577,1067.0,714.6096836735421,1.2982259969723606,0.647946647946648,1846.0,0.3
11,0.9992018356727972,1596.0,879.1825748955674,3.4488212655703974,2849.0,1745.0,0.9162345342870577,1121.0,751.0852148724538,1.419413603067425,0.636012636012636,1812.0,0.3
12,0.9992018356727972,1564.0,861.4545838290026,3.3727369993636165,2849.0,1765.0,0.9162345342870577,1105.0,740.2249658043155,1.3805041037178345,0.6388206388206388,1820.0,0.3
13,0.9787217731662783,1577.0,865.3710186966051,3.5039501064032863,2849.0,1784.0,0.9162345342870577,1054.0,727.0502045938781,1.230621415176393,0.6482976482976484,1847.0,0.3
14,0.9787217731662783,1631.0,881.8395545676095,3.632197310439958,2849.0,1746.0,0.8857200980855322,987.0,726.9876202522296,1.0500188892569402,0.6633906633906634,1890.0,0.3
15,0.9992018356727972,1532.0,840.1107069904538,3.4103853787530967,2849.0,1817.0,0.9162345342870577,915.0,641.3711873790403,1.1087231185862318,0.6998946998946999,1994.0,0.4
16,0.9992018356727972,1525.0,831.3717579999936,3.3059010503830364,2849.0,1794.0,0.9162345342870577,1012.0,691.5272951952078,1.3409500331555466,0.6784836784836785,1933.0,0.4
17,0.9992018356727972,1458.0,800.0512483585036,3.075392617771743,2849.0,1817.0,0.9162345342870577,1009.0,689.0899796107907,1.3149046417577213,0.6767286767286766,1928.0,0.4
18,0.9992018356727972,1478.0,802.8436958711203,3.169659108781916,2849.0,1815.0,0.9162345342870577,997.0,680.4579340414806,1.230857536377449,0.6739206739206739,1920.0,0.4
19,0.9992018356727972,1519.0,823.5332415877334,3.299363612088365,2849.0,1798.0,0.9162345342870577,928.0,648.1789876261032,1.113258979507461,0.6939276939276939,1977.0,0.4
20,0.9992018356727972,1395.0,762.0006561676964,3.0431641202400153,2849.0,1890.0,1.0,839.0,577.0710528175885,0.9404216048957376,0.7160407160407161,2040.0,0.5
21,0.9992018356727972,1420.0,778.87996507806,3.086331682798453,2849.0,1871.0,1.0,932.0,632.3448426293995,1.1487686142323286,0.6946296946296946,1979.0,0.5
22,0.9992018356727972,1345.0,728.0817261818895,2.7895258983106155,2849.0,1878.0,1.0,897.0,614.25646109748,1.018059590610571,0.6970866970866971,1986.0,0.5
23,0.9992018356727972,1408.0,763.8062581571324,3.024761112877286,2849.0,1865.0,0.9162345342870577,905.0,649.920764401323,0.9811952676430697,0.6921726921726922,1972.0,0.5
24,0.9992018356727972,1441.0,789.519474110677,3.109479269107096,2849.0,1848.0,0.9162345342870577,864.0,617.1320766254173,1.03135537176499,0.7156897156897157,2039.0,0.5
25,0.9992018356727972,1396.0,786.4349941349253,3.1931951623187036,2849.0,1941.0,0.9992018356727972,1162.0,657.0936006384478,2.627771468528147,0.7318357318357318,2085.0,0.6
26,0.9992018356727972,1486.0,829.2333809006967,3.614595729374191,2849.0,1943.0,1.0,1155.0,686.5806580439038,2.5613372468329554,0.7314847314847315,2084.0,0.6
27,0.9992018356727972,1333.0,752.0272601442051,2.937924499685242,2849.0,1950.0,1.0,1087.0,611.3648665077181,2.426267530168376,0.7455247455247456,2124.0,0.6
28,0.9992018356727972,1390.0,794.8811231876123,3.1126893262148396,2849.0,1929.0,1.0,1174.0,681.9310815617661,2.5474978816137783,0.7199017199017199,2051.0,0.6
29,0.9131864710873998,1387.0,813.1844809143863,3.126049998193246,2849.0,1942.0,0.9992018356727972,1107.0,631.0221866147022,2.404715107705437,0.734994734994735,2094.0,0.6
30,0.9992018356727972,1307.0,734.8231079654477,2.961107910143845,2849.0,1990.0,0.9992018356727972,1042.0,582.3967719690761,2.3803819070463756,0.7613197613197613,2169.0,0.7
31,0.9992018356727972,1391.0,778.0918968862226,3.329963781979619,2849.0,1986.0,1.0,1035.0,635.4282020810848,2.1088525433817393,0.742014742014742,2114.0,0.7
32,0.9992018356727972,1238.0,700.1271313125924,2.6278375407457357,2849.0,1985.0,1.0,1052.0,589.9508454100222,2.3755106141617386,0.7564057564057565,2155.0,0.7
33,0.9992018356727972,1345.0,760.1059136725618,3.0935474723345857,2849.0,1980.0,1.0,1101.0,624.3660785148405,2.607898793110369,0.7581607581607581,2160.0,0.7
34,0.9131864710873998,1309.0,776.4863166856194,2.877101148185586,2849.0,1974.0,1.0,1069.0,608.443095120653,2.4190358473321956,0.7539487539487539,2148.0,0.7
35,0.9992018356727972,1264.0,706.9073489503415,2.857489104616369,2849.0,2015.0,0.9992018356727972,935.0,538.2313628914613,1.9682992260733383,0.7700947700947701,2194.0,0.8
36,1.0,1347.0,752.7489621381088,3.262261522369788,2849.0,2024.0,1.0,936.0,560.8547048924526,1.9764019907459942,0.7725517725517725,2201.0,0.8
37,1.0,1175.0,670.876292620331,2.4775936279603226,2849.0,2026.0,1.0,927.0,524.1230771488697,2.008627187153735,0.7771147771147771,2214.0,0.8
