,ndcgpc,diffpc,Eucpc,reldiffpc,nodes_real,nodes_pc,ndcgpriv,diffpriv,Eucpriv,reldiffpriv,nodessimpriv,nodes_priv,epsilon
0,1.0,485.0,367.5554379954132,5.746207332490518,819.0,632.0,1.0,572.0,408.01960737199875,9.266750948166878,0.9072039072039072,743.0,0.1
1,1.0,536.0,404.04207701673846,6.49968394437421,819.0,621.0,1.0,501.0,356.5459297201414,8.281289506953224,0.9304029304029304,762.0,0.1
2,1.0,507.0,382.602927328059,6.118520859671302,819.0,630.0,1.0,543.0,385.5191305240247,9.195638432364095,0.9401709401709402,770.0,0.1
3,1.0,517.0,398.1318876955223,5.717762326169406,819.0,596.0,1.0,578.0,410.90388170471203,9.653286978508218,0.9267399267399268,759.0,0.1
4,1.0,514.0,389.99743588900685,6.058470290771175,819.0,619.0,1.0,533.0,379.6801285292661,8.735145385587863,0.9206349206349207,754.0,0.1
5,1.0,530.0,394.0076141396255,6.836599241466499,819.0,647.0,1.0,541.0,384.6621894597908,9.020859671302148,0.9304029304029304,762.0,0.1
6,1.0,495.0,365.1260056473655,6.620101137800253,819.0,672.0,1.0,574.0,408.88629226228653,9.4070796460177,0.9145299145299145,749.0,0.1
7,1.0,487.0,362.2499137335991,6.265486725663717,819.0,660.0,1.0,526.0,373.8930328315841,8.79519595448799,0.9340659340659341,765.0,0.1
8,1.0,472.0,354.2654372077525,5.833122629582807,819.0,651.0,1.0,581.0,419.3578424210045,8.692477876106194,0.8547008547008547,700.0,0.1
9,1.0,528.0,400.7617746242773,6.2139696586599245,819.0,613.0,1.0,561.0,403.57527178953865,8.563843236409607,0.8717948717948718,714.0,0.1
10,1.0,428.0,356.32850012313077,3.331542351453856,819.0,553.0,1.0,730.0,527.5490498522389,10.844500632111252,0.811965811965812,665.0,0.2
11,1.0,437.0,359.9236030048599,3.584070796460177,819.0,558.0,1.0,720.0,519.1993836668145,10.831858407079647,0.8241758241758241,675.0,0.2
12,1.0,368.0,301.72835465033774,3.0834386852085967,819.0,603.0,1.0,712.0,516.6430102111128,10.33944374209861,0.7997557997557998,655.0,0.2
13,1.0,415.0,335.8466912149054,3.694058154235145,819.0,588.0,1.0,726.0,520.7936251529967,11.287294563843236,0.8485958485958486,695.0,0.2
14,1.0,423.0,351.4612354157994,3.325221238938053,819.0,558.0,1.0,688.0,504.3252918504088,9.482300884955752,0.7704517704517705,631.0,0.2
15,1.0,398.0,328.63657739210953,3.224715549936789,819.0,579.0,1.0,686.0,500.08999190145767,9.720922882427308,0.78998778998779,647.0,0.2
16,1.0,420.0,347.0705980056507,3.390328697850822,819.0,565.0,1.0,703.0,509.03536222938385,10.328065739570166,0.8107448107448108,664.0,0.2
17,1.0,401.0,330.09241130325915,3.2974083438685207,819.0,580.0,1.0,692.0,502.2270402915399,10.038558786346396,0.8046398046398047,659.0,0.2
