,epsilon,BASE_WEIGHT,pattern_weight,distocenterpc,wdispc,nodessimpc,pc_node_num,DTWpc,Eucpc_corr,PCDpc,Pearson_ori,Pearson_pc,ndcgpc,diffpc,Eucpc,reldiffpc,nodes_real,nodes_pc,distocenterpriv,wdispriv,nodessimpriv,priv_node_num,cluster_intra_dis_diff_pc_priv,cluster_real_node_num,DTWpriv,Eucpriv_corr,PCDpriv,Pearson_priv,ndcgpriv,diffpriv,Eucpriv,reldiffpriv,nodes_priv
0,2.0,14.0,"(1, 1, 4)",0.07336817828287076,0.009727328739043632,-0.49800796812749004,627.0,141705.442898178,43449.10779591865,0.395765400377461,0.8965999434853935,0.5008345431079325,1.0,461.0,339.66601242985735,6.198166877370417,819.0,684.0,0.074171431277352,0.009146557360176406,0.7106227106227105,899.0,0.0008032529944812378,251.0,143025.9279270533,43993.19435379637,0.606582227700791,0.29001771578460256,1.0,701.0,523.2446846361652,8.878634639696587,582.0
1,2.0,14.0,"(1, 1, 4)",0.07676548323920106,0.011771572955393453,-0.31872509960159356,582.0,125261.94532941337,38271.925127434275,0.1653763031841038,0.8965999434853935,0.7312236403012897,1.0,437.0,315.92562415859845,6.477876106194691,819.0,726.0,0.07581450769013262,0.009145462697932288,0.7960927960927962,760.0,0.0009509755490684363,251.0,154060.3291588405,46882.55876298772,0.05088137320534758,0.8457185702800459,1.0,649.0,473.86179419742206,9.122945638432364,652.0
2,2.0,14.0,"(1, 1, 4)",0.0744801537870516,0.010193229409195948,-0.7609561752988048,693.0,152999.52297106254,46871.8421577117,0.36283657545746373,0.8965999434853935,0.5337633680279298,1.0,419.0,312.60358283295477,5.31826801517067,819.0,678.0,0.07613826436886345,0.01008555190406818,0.7948717948717949,694.0,0.001658110581811853,251.0,143255.6150522534,43857.215336839145,0.4539232882743545,0.442676655211039,1.0,622.0,455.5809478018149,8.606510745891278,651.0
3,2.0,14.0,"(1, 1, 4)",0.07679029650350717,0.01126058278791027,-0.45418326693227096,616.0,135060.0181497755,41288.15229533011,0.20343480386140955,0.8965999434853935,0.693165139623984,1.0,451.0,337.2135821701137,5.668773704171934,819.0,664.0,0.07614467054848388,0.009603585049612442,0.7277167277167278,861.0,0.0006456259550232935,251.0,146199.65816462706,45278.38199630543,1.1049136483445463,-0.2083137048591528,1.0,715.0,529.6007930507658,9.378634639696587,596.0
4,2.0,14.0,"(1, 1, 4)",0.07267895136710305,0.01152784351502916,-0.31474103585657365,581.0,124469.02479012852,42586.51295759334,0.3661841103678115,0.8965999434853935,0.530415833117582,1.0,516.0,396.0934233233367,5.785398230088496,819.0,601.0,0.0743546319004446,0.00873102040330313,0.78998778998779,785.0,0.0016756805333415503,251.0,160060.51512659268,49229.26777566525,0.7310382345275122,0.1655617089578814,1.0,650.0,475.4387447400559,9.055309734513274,647.0
5,2.0,14.0,"(1, 1, 9)",0.07336817828287076,0.009727328739043632,-0.49800796812749004,627.0,141705.442898178,43449.10779591865,0.395765400377461,0.8965999434853935,0.5008345431079325,1.0,461.0,339.66601242985735,6.198166877370417,819.0,684.0,0.074171431277352,0.009146557360176406,0.7106227106227105,899.0,0.0008032529944812378,251.0,143025.9279270533,43993.19435379637,0.606582227700791,0.29001771578460256,1.0,701.0,523.2446846361652,8.878634639696587,582.0
6,2.0,14.0,"(1, 1, 9)",0.07676548323920106,0.011771572955393453,-0.31872509960159356,582.0,125261.94532941337,38271.925127434275,0.1653763031841038,0.8965999434853935,0.7312236403012897,1.0,437.0,315.92562415859845,6.477876106194691,819.0,726.0,0.07581450769013262,0.009145462697932288,0.7960927960927962,760.0,0.0009509755490684363,251.0,154060.3291588405,46882.55876298772,0.05088137320534758,0.8457185702800459,1.0,649.0,473.86179419742206,9.122945638432364,652.0
7,2.0,14.0,"(1, 1, 9)",0.0732613296569609,0.010704535646762835,-0.5737051792828685,646.0,128883.55392046212,40353.08069791808,0.7671523966439391,0.8965999434853935,0.12944754684145446,1.0,460.0,341.68991790803545,5.95575221238938,819.0,671.0,0.07613826436886345,0.01008555190406818,0.7948717948717949,694.0,0.0028769347119025485,251.0,143255.6150522534,43857.215336839145,0.4539232882743545,0.442676655211039,1.0,622.0,455.5809478018149,8.606510745891278,651.0
8,2.0,14.0,"(1, 1, 9)",0.07679029650350717,0.01126058278791027,-0.45418326693227096,616.0,135060.0181497755,41288.15229533011,0.20343480386140955,0.8965999434853935,0.693165139623984,1.0,451.0,337.2135821701137,5.668773704171934,819.0,664.0,0.07614467054848388,0.009603585049612442,0.7277167277167278,861.0,0.0006456259550232935,251.0,146199.65816462706,45278.38199630543,1.1049136483445463,-0.2083137048591528,1.0,715.0,529.6007930507658,9.378634639696587,596.0
9,2.0,14.0,"(1, 1, 9)",0.07267895136710305,0.01152784351502916,-0.31474103585657365,581.0,124469.02479012852,42586.51295759334,0.3661841103678115,0.8965999434853935,0.530415833117582,1.0,516.0,396.0934233233367,5.785398230088496,819.0,601.0,0.0743546319004446,0.00873102040330313,0.78998778998779,785.0,0.0016756805333415503,251.0,160060.51512659268,49229.26777566525,0.7310382345275122,0.1655617089578814,1.0,650.0,475.4387447400559,9.055309734513274,647.0
10,2.0,14.0,"(1, 4, 1)",0.07762802527922462,0.00909556712986547,-1.099601593625498,778.0,150372.9126414382,45916.408452459335,0.4311475005403895,0.8965999434853935,0.46545244294500404,1.0,695.0,502.02091589892945,10.352402022756005,819.0,674.0,0.074171431277352,0.009146557360176406,0.7106227106227105,899.0,0.0034565940018726204,251.0,143025.9279270533,43993.19435379637,0.606582227700791,0.29001771578460256,1.0,701.0,523.2446846361652,8.878634639696587,582.0
11,2.0,14.0,"(1, 4, 1)",0.07492641475373742,0.008934483056541681,-0.34262948207171307,588.0,132428.22440010286,41041.88990058121,0.5763830413575721,0.8965999434853935,0.32021690212782133,1.0,475.0,356.9775903330628,5.836915297092289,819.0,648.0,0.07581450769013262,0.009145462697932288,0.7960927960927962,760.0,0.0008880929363952045,251.0,154060.3291588405,46882.55876298772,0.05088137320534758,0.8457185702800459,1.0,649.0,473.86179419742206,9.122945638432364,652.0
12,2.0,14.0,"(1, 4, 1)",0.0749714049149692,0.011484226428690828,-0.36653386454183257,594.0,146738.57771513902,44890.04451596531,0.4705189141726844,0.8965999434853935,0.42608102931270914,1.0,468.0,337.53518335130633,7.033817951959545,819.0,725.0,0.07613826436886345,0.01008555190406818,0.7948717948717949,694.0,0.0011668594538942478,251.0,143255.6150522534,43857.215336839145,0.4539232882743545,0.442676655211039,1.0,622.0,455.5809478018149,8.606510745891278,651.0
13,2.0,14.0,"(1, 4, 1)",0.07404846343968767,0.009544097291176867,-1.1713147410358564,796.0,136734.13047432253,42480.568460283146,0.822086589336874,0.8965999434853935,0.07451335414851956,1.0,668.0,499.5618079877604,8.389064475347661,819.0,589.0,0.07614467054848388,0.009603585049612442,0.7277167277167278,861.0,0.002096207108796211,251.0,146199.65816462706,45278.38199630543,1.1049136483445463,-0.2083137048591528,1.0,715.0,529.6007930507658,9.378634639696587,596.0
14,2.0,14.0,"(1, 4, 1)",0.07466400907861322,0.011929556359470754,-0.5219123505976095,633.0,137336.1327476334,43012.23261530348,0.3979498376635587,0.8965999434853935,0.49865010582183483,1.0,458.0,341.67235767618075,5.815423514538559,819.0,665.0,0.0743546319004446,0.00873102040330313,0.78998778998779,785.0,0.0003093771781686183,251.0,160060.51512659268,49229.26777566525,0.7310382345275122,0.1655617089578814,1.0,650.0,475.4387447400559,9.055309734513274,647.0
15,2.0,14.0,"(1, 4, 9)",0.07336817828287076,0.009727328739043632,-0.49800796812749004,627.0,141705.442898178,43449.10779591865,0.395765400377461,0.8965999434853935,0.5008345431079325,1.0,461.0,339.66601242985735,6.198166877370417,819.0,684.0,0.074171431277352,0.009146557360176406,0.7106227106227105,899.0,0.0008032529944812378,251.0,143025.9279270533,43993.19435379637,0.606582227700791,0.29001771578460256,1.0,701.0,523.2446846361652,8.878634639696587,582.0
16,2.0,14.0,"(1, 4, 9)",0.07676548323920106,0.011771572955393453,-0.31872509960159356,582.0,125261.94532941337,38271.925127434275,0.1653763031841038,0.8965999434853935,0.7312236403012897,1.0,437.0,315.92562415859845,6.477876106194691,819.0,726.0,0.07581450769013262,0.009145462697932288,0.7960927960927962,760.0,0.0009509755490684363,251.0,154060.3291588405,46882.55876298772,0.05088137320534758,0.8457185702800459,1.0,649.0,473.86179419742206,9.122945638432364,652.0
17,2.0,14.0,"(1, 4, 9)",0.0744801537870516,0.010193229409195948,-0.7609561752988048,693.0,152999.52297106254,46871.8421577117,0.36283657545746373,0.8965999434853935,0.5337633680279298,1.0,419.0,312.60358283295477,5.31826801517067,819.0,678.0,0.07613826436886345,0.01008555190406818,0.7948717948717949,694.0,0.001658110581811853,251.0,143255.6150522534,43857.215336839145,0.4539232882743545,0.442676655211039,1.0,622.0,455.5809478018149,8.606510745891278,651.0
18,2.0,14.0,"(1, 4, 9)",0.07679029650350717,0.01126058278791027,-0.45418326693227096,616.0,135060.0181497755,41288.15229533011,0.20343480386140955,0.8965999434853935,0.693165139623984,1.0,451.0,337.2135821701137,5.668773704171934,819.0,664.0,0.07614467054848388,0.009603585049612442,0.7277167277167278,861.0,0.0006456259550232935,251.0,146199.65816462706,45278.38199630543,1.1049136483445463,-0.2083137048591528,1.0,715.0,529.6007930507658,9.378634639696587,596.0
19,2.0,14.0,"(1, 4, 9)",0.07267895136710305,0.01152784351502916,-0.31474103585657365,581.0,124469.02479012852,42586.51295759334,0.3661841103678115,0.8965999434853935,0.530415833117582,1.0,516.0,396.0934233233367,5.785398230088496,819.0,601.0,0.0743546319004446,0.00873102040330313,0.78998778998779,785.0,0.0016756805333415503,251.0,160060.51512659268,49229.26777566525,0.7310382345275122,0.1655617089578814,1.0,650.0,475.4387447400559,9.055309734513274,647.0
