,klpc,distocenterpc,wdispc,nodessimpc,pc_node_num,klpriv,distocenterpriv,wdispriv,nodessimpriv,priv_node_num,cluster_intra_dis_diff_pc_priv,cluster_real_node_num,epsilon
0,0.12988342462344318,0.07228009514771089,0.012305533283835797,-0.8975409836065573,707.0,0.1563719202866262,0.07694213373042252,0.011637967726510184,-0.6598360655737705,649.0,0.004662038582711636,244.0,0.1
1,0.12011501727888448,0.06977437527876246,0.010795529894986043,-0.9180327868852458,712.0,0.15571732464334917,0.07651461226815981,0.011341743158467258,-0.7459016393442623,670.0,0.006740236989397352,244.0,0.1
2,0.12311732633586235,0.07140607399777138,0.012272424365184104,-1.0,732.0,0.15069615420529575,0.07731268007603388,0.011565052254439248,-0.6557377049180328,648.0,0.005906606078262502,244.0,0.1
3,0.12810374328497645,0.07232329240336874,0.01138841780695291,-0.9918032786885247,730.0,0.1605970652047303,0.07848375180454639,0.012479519770591918,-0.6188524590163935,639.0,0.006160459401177654,244.0,0.1
4,0.1282168228296344,0.07061982239312517,0.012675971470904308,-0.8934426229508197,706.0,0.14494354077876026,0.07393782341291487,0.012034362478650319,-0.6065573770491803,636.0,0.0033180010197896986,244.0,0.1
5,0.15062736871884036,0.07235056901896197,0.015085187511855317,0.04508196721311475,477.0,0.18591745371986287,0.08337370587124487,0.013190870377925278,-0.401639344262295,586.0,0.0110231368522829,244.0,0.2
6,0.15125940683926814,0.07298327233515235,0.016008306427641228,0.020491803278688492,483.0,0.178980605377134,0.0827313496266529,0.015012906763901795,-0.3073770491803278,563.0,0.009748077291500554,244.0,0.2
7,0.15297890269002024,0.07280808893494214,0.01497068093005673,0.0,488.0,0.1820329583619735,0.08505728974830525,0.01486360295430122,-0.32377049180327866,567.0,0.0122492008133631,244.0,0.2
8,0.15664585875609166,0.07582558932590155,0.01436252933425438,0.02868852459016391,481.0,0.1845985912973878,0.09009045928308566,0.014663650408116418,-0.48360655737704916,606.0,0.01426486995718411,244.0,0.2
9,0.15331936410449,0.0720200543230573,0.013837408801773754,-0.09836065573770503,512.0,0.17909961840698757,0.08381871741410092,0.01633034028316413,-0.21721311475409832,541.0,0.011798663091043618,244.0,0.2
10,0.16051569836687918,0.07223648194768793,0.008532840944097507,-0.6434426229508197,645.0,0.14878897186419723,0.07912762805359083,0.012797125616291644,-0.360655737704918,576.0,0.006891146105902898,244.0,0.3
11,0.14839152854564008,0.06912891186105126,0.008370066308297088,-0.6762295081967213,653.0,0.15841171771059023,0.08084830076674131,0.01118546581385868,-0.540983606557377,620.0,0.011719388905690048,244.0,0.3
12,0.14948072581766178,0.06984456722373229,0.007611683925056077,-0.819672131147541,688.0,0.15893213443795506,0.08184462898973795,0.012514372484297133,-0.348360655737705,573.0,0.012000061766005654,244.0,0.3
13,0.1511715996898844,0.06962030163583971,0.007495502589353546,-0.7663934426229508,675.0,0.16449866912755207,0.08117487302267144,0.013478252459086272,-0.3114754098360655,564.0,0.011554571386831733,244.0,0.3
14,0.1610993602295146,0.07311411980745142,0.007071183816487933,-0.8524590163934427,696.0,0.17001575007397485,0.08434168259113611,0.013314254611807984,-0.45491803278688514,599.0,0.011227562783684697,244.0,0.3
15,0.1468015283039291,0.0723873041649128,0.01233801173071582,-0.278688524590164,556.0,0.16842932252500756,0.0826749926934184,0.013587781059986414,-0.19672131147540983,536.0,0.01028768852850559,244.0,0.4
16,0.16040736552990323,0.07306239162269906,0.01142035742569823,-0.4426229508196722,596.0,0.16023273237835062,0.0798725138076043,0.011972171790365055,-0.34426229508196715,572.0,0.006810122184905232,244.0,0.4
17,0.15270510079710015,0.07235051607573106,0.010916273002360104,-0.3811475409836065,581.0,0.16493241487981272,0.0821853091587441,0.012952634773499498,-0.18852459016393452,534.0,0.009834793083013035,244.0,0.4
18,0.1525665191125672,0.07263620370696254,0.011752052819222696,-0.4385245901639345,595.0,0.17208477271646075,0.08265663657767612,0.01314042614862473,-0.2295081967213115,544.0,0.01002043287071358,244.0,0.4
19,0.15132777224739077,0.07211195516073346,0.01304726553070015,-0.471311475409836,603.0,0.16536413007461365,0.08277001330151573,0.013181789039374473,-0.2418032786885247,547.0,0.010658058140782273,244.0,0.4
20,0.15154603868433403,0.07267807725780949,0.012211682418296215,-0.22540983606557385,543.0,0.18186395931351942,0.0832768952853173,0.01249387029822487,-0.12295081967213117,518.0,0.010598818027507811,244.0,0.5
21,0.16081566241398468,0.07333857403167945,0.011484993441705754,-0.3688524590163935,578.0,0.1716987966190778,0.08351578608015008,0.011039509554355212,-0.3401639344262295,571.0,0.010177212048470621,244.0,0.5
22,0.1514457132111034,0.07090768839469824,0.011314443583529392,-0.2704918032786885,554.0,0.16032926939708872,0.0816337423612617,0.012780581151605953,-0.15573770491803285,526.0,0.010726053966563454,244.0,0.5
23,0.15477148739060695,0.0726264458145985,0.011967349316061627,-0.25,549.0,0.17089547950215106,0.08114436650995797,0.012787375703206733,-0.10655737704918034,514.0,0.008517920695359477,244.0,0.5
24,0.15187799613199574,0.07248710625616983,0.013133632228595007,-0.3688524590163935,578.0,0.17345342325713214,0.08325457041384092,0.012626809980122493,-0.180327868852459,532.0,0.010767464157671089,244.0,0.5
25,0.15395033029633703,0.07575270722183383,0.012188885257634815,0.39754098360655743,391.0,0.17241536322078074,0.08216068004079932,0.014240929092398921,0.10655737704918034,462.0,0.0064079728189654905,244.0,0.6
26,0.1536926465906669,0.0731611767953991,0.012568181492505692,0.4180327868852459,386.0,0.17001285282685513,0.08272203820924695,0.014531304808558325,0.12295081967213117,458.0,0.009560861413847849,244.0,0.6
